ID,Language1,Language2,Age,Nationality,Coordinates,Gender
S189,Hindi,English,40-44,Indian,"(28.5355, 77.3910)",Male
S23,Hindi,,25-29,Indian,"(26.84, 80.94)",Male
S65,Tamil,English,20-24,Swiss,"(51.46, 0.03)",Female
S167,,,,,,
S8,Bulgarian,English,20-24,Bulgarian,"(44.11, 27.27)",Female
S81,,,,,,
S210,English,Filipino,25-29,Filipino,"(35.6620, 139.7038)",Male
S11,,,,,,
S20,Portuguese,English,20-24,Brazilian,"(-16.6869, -49.2648)",Female
S97,Hindi,English,30-34,Indian,"(51.496, -0.014)",Male
S55,Hindi,English,20-24,Indian,"(28.611027, 77.091175)",Male
S137,English,Ukrainian,20-24,British,"(52.92, -1.47)",Male
S125,,,,,,
S105,English,Malayalam,20-24,Indian,"(25.2146, 55.3033)",Male
S148,Russian,English,20-24,Russian,"(59.9311, 30.3609)",Female
S199,Hindi,English,25-29,Indian,"(18.4926, 73.8757)",Female
S47,Hindi,English,25-29,Indian,"(51.52,-0.02)",Female
S142,Malayalam,,25-29,Indian,"(51.52,-0.04)",Male
S161,Icelandic,English,25-29,Icelandic,"(64.1466, 21.9426)",Male
S174,Hungarian,English,25-29,Hungarian,"(51.509865, -0.118092)",Male
S120,Hindi,English,20-24,Indian,"(25.44, 81.85)",Female
S150,Malayalam,English,25-29,Indian,"(10.89, 76.07)",Male
S117,Malayalam,English,25-29,Indian,"(9.97,76.28)",Female
S213,Portuguese,English,20-24,Portuguese,"(51.52, -0.04)",Male
S165,Gujarati,Hindi,20-24,Indian,"(19.0760, 72.8777)",Male
S193,Marathi,English,20-24,Indian,"(51.52, -0.04)",Male
S59,Chinese,English,20-24,Chinese,"(51.52, -0.04)",Male
S123,,,,,,
S64,,,,,,
S124,,,,,,
S166,English,Spanish,25-29,American,"(34.85, -82.39)",Female
S93,English,,25-29,British,"(53.645792, -1.785035)",Male
S177,Chinese,English,25-29,Taiwanese,"(23.69, 120.96)",Female
S54,Dutch,English,20-24,Dutch,"(40.10, 23.31)",Male
S146,Chinese,English,25-29,Chinese,"(31.03, 121.22)",Female
S184,Hindi,English,20-24,Indian,"(28.70, 77.10)",Male
S75,Hindi,English,20-24,Indian,"(28.7041, 77.1025)",Female
S70,Chinese,English,20-24,Chinese,"(51.54, -0.01)",Male
S62,Chinese,,30-34,Chinese,"(22.28, 114.15)",Female
S6,Chinese,English,20-24,Chinese,"(33.9,108.5)",Male
S34,English,Urdu,20-24,British,"(51.509865, -0.118092)",Male
S106,Urdu,English,20-24,Indian,"(49,-0.2)",Male
S19,Chinese,English,25-29,Chinese,"(51.52, -0.04)",Female
S84,Chinese,English,20-24,Chinese,"(39.09,115.33)",Male
S63,Chinese,,25-29,Chinese,"(25.05, 119.30)",Male
S107,,,,,,
S154,Chinese,English,20-24,Chinese,"(34.16,108.95)",Female
S110,Chinese,English,25-29,Chinese,"(31.23, 121.47)",Female
S250,English,,20-24,British,"(51.5771, 0.1783)",Female
S224,Chinese,,20-24,Chinese,"(34.16, 112.42)",Male
S230,English,,30-34,British,"(51.48, -0.29)",Male
S236,German,English,20-24,German,"(51.50,0.13)",Male
S270,Urdu,English,20-24,Indian,"(28.7041, 77.1025)",Male
S237,English,,25-29,British,"(51.52, -0.04)",Male
S268,Kazakh,English,25-29,Kazakh,"(51.52, -0.04)",Female
S231,English,,25-29,British,"(51.89, 0.61)",Female
S258,English,Hindi,25-29,Indian,"(28.6139, 77.2090)",Female
S223,Punjabi,English,25-29,Indian,"(51.52,-0.04)",Male
S247,,,,,,
S254,,,,,,
S257,Tamil,Telugu,25-29,Indian,"(11.09,76.94)",Male
S264,English,Tamil,20-24,Indian,"(11.6643, 78.1460)",Female
S263,Marathi,English,20-24,Indian,"(19.86718, 75.36484)",Female
S260,Telugu,,35-39,Indian,"(51.52, -0.04)",Female
S241,Kannada,English,25-29,Indian,"(51.52,-0.05)",Female
S235,Telugu,Hindi,20-24,Indian,"(17.47, 78.72)",Male
S228,,,,,,
S267,English,,20-24,British,"(52.48, -1.89)",Male
S252,Shona,English,25-29,Zimbabwean,"(-17.82,31.05)",Male
S227,English,Hindi,25-29,Indian,"(51.52, -0.04)",Male
S232,Marathi,Hindi,25-29,Indian,"(20.760457, 78.617498)",Male
S246,English,,20-24,British,"(51.5, 0.13)",Male
S233,Hindi,English,20-24,Indian,"(28.52, 77.39)",Male
S275,Greek,English,20-24,Cypriot,"(51.5125943,-0.2190144)",Male
S272,Telugu,Hindi,20-24,Indian,"(51.52, -0.04)",Female
S239,,,,,,
S255,,,,,,
S274,Gujarati,English,20-24,Indian,"(51.52, -0.04)",Male
S265,English,Kannada,25-29,Indian,"(12.97, 77.5)",Male
S271,Persian,Turkish,35-39,Iranian,"(32.4279,53.6880)",Male
S251,Tamil,English,20-24,Indian,"(51.52, -0.04)",Male
